Voltage, Varactor Capacitance
2.08, 1.7323274007048E-11
2.09, 1.71942165010364E-11
2.1, 1.70669617191867E-11
2.11, 1.69477053934888E-11
2.12, 1.68238593499407E-11
2.13, 1.67017086844151E-11
2.14, 1.65812189463034E-11
2.15, 1.64564556255201E-11
2.16, 1.63392669650078E-11
2.17, 1.62178988229494E-11
2.18, 1.61038779088583E-11
2.19, 1.59857687293567E-11
2.2, 1.58692783724519E-11
2.21, 1.57543739136032E-11
2.22, 1.56410233148689E-11
2.23, 1.55239077168592E-11
2.24, 1.54136424437225E-11
2.25, 1.52996933802915E-11
2.26, 1.51873151809196E-11
2.27, 1.50764757217294E-11
2.28, 1.49671437485541E-11
2.29, 1.48592888477041E-11
2.3, 1.47528814179034E-11
2.31, 1.46431536766414E-11
2.32, 1.45396180555192E-11
2.33, 1.44328321635375E-11
2.34, 1.43275046146694E-11
2.35, 1.42236058754766E-11
2.36, 1.41211072043557E-11
2.37, 1.40199806251769E-11
2.38, 1.39158906609375E-11
2.39, 1.38174840017195E-11
2.4, 1.37161752443937E-11
2.41, 1.36162440947166E-11
2.42, 1.3517662784028E-11
2.43, 1.34204042847116E-11
2.44, 1.332047162411E-11
2.45, 1.32258329145031E-11
2.46, 1.3128574360807E-11
2.47, 1.30326392040462E-11
2.48, 1.29380007605639E-11
2.49, 1.28446330589656E-11
2.5, 1.27525108165133E-11
2.51, 1.26579984127587E-11
2.52, 1.25683412675748E-11
2.53, 1.24763414064648E-11
2.54, 1.23855842865717E-11
2.55, 1.22960450425369E-11
2.56, 1.22076994676388E-11
2.57, 1.21171941431535E-11
2.58, 1.20312094841992E-11
2.59, 1.19431070400049E-11
2.6, 1.18561923044446E-11
2.61, 1.17704415702446E-11
2.62, 1.16858317565638E-11
2.63, 1.16023403884393E-11
2.64, 1.15169146962779E-11
2.65, 1.14326445270258E-11
2.66, 1.13495067465079E-11
2.67, 1.12674788336338E-11
2.68, 1.11865388602236E-11
2.69, 1.11066654716243E-11
2.7, 1.10250416823229E-11
2.71, 1.09445172124847E-11
2.72, 1.08650701576025E-11
2.73, 1.07866791908923E-11
2.74, 1.07093235443735E-11
2.75, 1.06329829906866E-11
2.76, 1.05550572364782E-11
2.77, 1.04781754613418E-11
2.78, 1.04023169822513E-11
2.79, 1.03274616585555E-11
2.8, 1.02535898743163E-11
2.81, 1.01782686672142E-11
2.82, 1.01039567288739E-11
2.83, 1.00306340686461E-11
2.84, 9.95828121994447E-12
2.85, 9.88687922318558E-12
2.86, 9.81640960939095E-12
2.87, 9.74462569244908E-12
2.88, 9.67379683255236E-12
2.89, 9.6039042557683E-12
2.9, 9.53492967659546E-12
2.91, 9.46474227175581E-12
2.92, 9.39757802037035E-12
2.93, 9.32922108866396E-12
2.94, 9.26176643085847E-12
2.95, 9.1951964595664E-12
2.96, 9.12751642431397E-12
2.97, 9.06269039166229E-12
2.98, 8.99677216452539E-12
2.99, 8.93172203639666E-12
3, 8.86752313249778E-12
3.01, 8.80230783375847E-12
3.02, 8.73978631944598E-12
3.03, 8.67626423696169E-12
3.04, 8.61357618095317E-12
3.05, 8.55170599551371E-12
3.06, 8.48890477025522E-12
3.07, 8.4286457596899E-12
3.08, 8.36746970669738E-12
3.09, 8.30709393507667E-12
3.1, 8.24750300705115E-12
3.11, 8.187058804974E-12
3.12, 8.12741185259194E-12
3.13, 8.06854664918147E-12
3.14, 8.01044809275467E-12
3.15, 7.953101467322E-12
3.16, 7.89649243064001E-12
3.17, 7.83910649962356E-12
3.18, 7.7824690613499E-12
3.19, 7.72656573348329E-12
3.2, 7.66993990779649E-12
3.21, 7.6154815135983E-12
3.22, 7.56031023591103E-12
3.23, 7.50585464016688E-12
3.24, 7.45073187183394E-12
3.25, 7.39768446354381E-12
3.26, 7.3439783202372E-12
3.27, 7.29096897533755E-12
3.28, 7.23864312415212E-12
3.29, 7.18570489595476E-12
3.3, 7.13472373952151E-12
3.31, 7.08313759798193E-12
3.32, 7.03221643884665E-12
3.33, 6.98072963161592E-12
3.34, 6.9311163898445E-12
3.35, 6.88094393334001E-12
3.36, 6.83141773080346E-12
3.37, 6.78136907410207E-12
3.38, 6.73311364268366E-12
3.39, 6.68434132212919E-12
3.4, 6.63619641801702E-12
3.41, 6.58866707107391E-12
3.42, 6.54065752667135E-12
3.43, 6.49433854500228E-12
3.44, 6.44754420114495E-12
3.45, 6.40030412561672E-12
3.46, 6.35470647042204E-12
3.47, 6.30866715555205E-12
3.48, 6.2632178749394E-12
3.49, 6.21834752964837E-12
3.5, 6.17306717403655E-12
3.51, 6.12933477043353E-12
3.52, 6.08519586285936E-12
3.53, 6.04067665593694E-12
3.54, 5.99766094184434E-12
3.55, 5.95426779312436E-12
3.56, 5.91142780535737E-12
3.57, 5.8691306401598E-12
3.58, 5.82648332534327E-12
3.59, 5.78438118803284E-12
3.6, 5.74281401522064E-12
3.61, 5.70177184676197E-12
3.62, 5.66040606874439E-12
3.63, 5.61956719525769E-12
3.64, 5.57924539666069E-12
3.65, 5.53943108564195E-12
3.66, 5.49931766124298E-12
3.67, 5.45971321998051E-12
3.68, 5.42060830879764E-12
3.69, 5.38122635356771E-12
3.7, 5.34310260022576E-12
3.71, 5.3047029393568E-12
3.72, 5.26604692502179E-12
3.73, 5.2286123213514E-12
3.74, 5.19092208929063E-12
3.75, 5.15370600504558E-12
3.76, 5.11625311006896E-12
3.77, 5.0799680781216E-12
3.78, 5.04344668178363E-12
3.79, 5.00670647201284E-12
3.8, 4.97109970162691E-12
3.81, 4.93527422121123E-12
3.82, 4.89989772307009E-12
3.83, 4.86431913828104E-12
3.84, 4.82982409329E-12
3.85, 4.79512685415621E-12
3.86, 4.76024316929546E-12
3.87, 4.7264108962625E-12
3.88, 4.69239178632038E-12
3.89, 4.65879696896809E-12
3.9, 4.62502999697788E-12
3.91, 4.59168666866593E-12
3.92, 4.55875923508103E-12
3.93, 4.52624013436801E-12
3.94, 4.49356204520541E-12
3.95, 4.46129151242681E-12
3.96, 4.42942113053502E-12
3.97, 4.39740436063681E-12
3.98, 4.36578675475534E-12
3.99, 4.33456106648415E-12
4, 4.3037202230103E-12
